id,guests,rooms,beds,baths,price,booked,available
1129711453733940152?check_in=2025-01-21&check_out=2025-01-23,8,4,5,2,129,36,85
839100709545031661?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,100,8,113
1263396096098211387?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,177,10,111
1177085284107835516?check_in=2025-01-21&check_out=2025-01-23,6,1,3,1,95,47,74
53951191?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,125,N/A,121
1171286681317581404?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1.5,131,7,114
1090116609269880977?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,84,2,119
558548917968249444?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,139,N/A,121
1188596180646451651?check_in=2025-01-21&check_out=2025-01-23,8,2,5,2,121,10,111
1185689659139040048?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,299,79,42
548511791430414715?check_in=2025-01-21&check_out=2025-01-23,9,3,4,2,158,25,96
25168018?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,57,20,101
51768866?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,65,20,101
30179934?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,52,41,80
2528023?check_in=2025-01-21&check_out=2025-01-23,5,1,3,1,153,42,79
1243627475507799001?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,32,2,119
869118431939323889?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,125,3,118
800930958304551575?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85,54,67
1223373012843256442?check_in=2025-01-21&check_out=2025-01-23,8,2,5,1,82,N/A,121
36979535?check_in=2025-01-21&check_out=2025-01-23,5,1,4,1.5,75,16,105
1146464502593760835?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,146,15,106
1189163488519775338?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75,N/A,121
1234207225678541044?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,220,53,68
1100875492307499026?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,142,29,92
49985967?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,63,7,114
857861413093013133?check_in=2025-01-21&check_out=2025-01-23,10,5,5,2,260,22,99
1170958135926222134?check_in=2025-01-21&check_out=2025-01-23,7,2,3,2,200,77,44
1229262428654643781?check_in=2025-01-21&check_out=2025-01-23,5,2,2,2,133,14,107
1016217655010330946?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,119,6,115
875237472291751056?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,107,N/A,121
1228178879270122422?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,116,42,79
701526986563592983?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,62,14,107
51125509?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,67,10,111
13326690?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,195,24,97
599346308233232074?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99,9,112
760751596434690924?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,85,70,51
1187027754700154577?check_in=2025-01-21&check_out=2025-01-23,6,1,3,2,115,40,81
10549074?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,65,46,75
1267671436411580509?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,40,13,108
50412943?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,165,64,57
1179620652262987800?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,129,43,78
1248551889961388470?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75,7,114
1209617189778764742?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,45,33,88
23232713?check_in=2025-01-21&check_out=2025-01-23,6,3,3,3,180,47,74
1162509111349580229?check_in=2025-01-21&check_out=2025-01-23,16+,6,9,5,139,37,84
820235768898352048?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,130,48,73
747252220909435539?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,93,N/A,121
1235415437363387824?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,82,2,119
796552149402196567?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,68,20,101
1248665304167913261?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,128,38,83
1089256981973088046?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2,427,43,78
980381423449305968?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,149,27,94
48678257?check_in=2025-01-21&check_out=2025-01-23,10,5,7,3,197,93,28
1109695338351136907?check_in=2025-01-21&check_out=2025-01-23,10,3,5,2.5,275,N/A,121
49747885?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,319,51,70
53768715?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,101,8,113
46540548?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,99,41,80
1015873223477743753?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,150,4,117
1181859049339328977?check_in=2025-01-21&check_out=2025-01-23,6,3,3,1,200,2,119
1074604166169409036?check_in=2025-01-21&check_out=2025-01-23,6,1,3,1,158,21,100
660894610821510417?check_in=2025-01-21&check_out=2025-01-23,N/A,0,2,0,60,64,57
50089591?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,50,11,110
14740095?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,130,53,68
803150430402527078?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,98,37,84
620157982591913138?check_in=2025-01-21&check_out=2025-01-23,5,1,4,2,121,N/A,121
1206159232698120979?check_in=2025-01-21&check_out=2025-01-23,5,2,2,1,65,19,102
775293958013813808?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,145,N/A,121
44500189?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,102,35,86
48286949?check_in=2025-01-21&check_out=2025-01-23,6,1,3,2,99,N/A,121
46626771?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,58,15,106
842099888923770309?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,91,17,104
811873617646508251?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,95,35,86
1050629667376355107?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,238,63,58
610209139028423470?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,69,15,106
645640931945484015?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,105,8,113
49341977?check_in=2025-01-21&check_out=2025-01-23,7,3,4,2,115,76,45
739913589000352379?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,88,2,119
51979007?check_in=2025-01-21&check_out=2025-01-23,6,1,4,2,111,N/A,121
1196545411776319079?check_in=2025-01-21&check_out=2025-01-23,6,1,4,2,125,98,23
39130461?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,145,71,50
955663700331930879?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,98,4,117
1268159264567546020?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,90,N/A,121
40724534?check_in=2025-01-21&check_out=2025-01-23,4,1,4,2,109,N/A,121
954977729375333943?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,52,19,102
1259606010484888475?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,53,72,49
991323064974027876?check_in=2025-01-21&check_out=2025-01-23,5,1,3,1,69,16,105
16646769?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,90,9,112
918791785249114141?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,98,17,104
846192441684743620?check_in=2025-01-21&check_out=2025-01-23,6,3,3,3,225,40,81
50189525?check_in=2025-01-21&check_out=2025-01-23,6,1,4,2,102,N/A,121
1231896843230940832?check_in=2025-01-21&check_out=2025-01-23,10,3,6,3,216,35,86
53886844?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,85,7,114
51150404?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85,N/A,121
40867791?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,189,45,76
748586523755289213?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,65,N/A,121
935736001702718973?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,74,11,110
53500872?check_in=2025-01-21&check_out=2025-01-23,10,3,4,1,141,9,112
1142245463934075054?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,50,52,69
43818448?check_in=2025-01-21&check_out=2025-01-23,4,3,4,2,503,28,93
1156049831381307760?check_in=2025-01-21&check_out=2025-01-23,4,1,0,1,96,9,112
